,e,s,i1,i2,c,r,d,detected
0,50,99953,0,0,0,0,0,8
1,38,99952,5,8,0,0,0,0
2,32,99949,8,14,0,0,0,0
3,23,99946,10,24,0,0,0,0
4,13,99940,18,32,0,0,0,1
5,23,99930,18,32,0,0,0,3
6,26,99926,18,33,0,0,0,0
7,33,99916,18,36,0,0,0,1
8,34,99912,19,38,0,0,0,1
9,36,99904,21,42,0,0,0,0
10,41,99889,26,47,0,0,0,2
11,52,99874,23,41,0,13,0,3
12,53,99863,23,42,0,22,0,1
13,69,99843,21,36,0,34,0,2
14,79,99825,17,32,1,49,0,3
15,86,99803,23,41,1,49,0,2
16,93,99781,31,47,1,50,0,5
17,100,99763,35,51,1,53,0,2
18,112,99731,46,57,1,56,0,6
19,131,99694,53,62,1,62,0,8
20,156,99647,54,73,1,72,0,8
21,188,99593,61,84,2,75,0,6
22,221,99542,67,86,2,85,0,4
23,257,99474,78,103,2,88,1,9
24,286,99408,83,127,2,96,1,15
25,311,99336,96,146,2,111,1,8
26,367,99226,114,167,3,125,1,13
27,403,99139,130,191,3,136,1,10
28,442,99032,144,225,3,156,1,15
29,508,98900,166,251,3,174,1,20
30,579,98757,191,276,3,196,1,21
31,634,98592,231,324,3,218,1,19
32,710,98429,257,367,3,236,1,28
33,778,98254,290,409,3,268,1,28
34,880,98020,339,455,6,302,1,38
35,980,97777,371,519,6,349,1,37
36,1079,97513,410,591,8,401,1,35
37,1203,97226,451,662,9,451,1,33
38,1356,96898,493,727,13,515,1,39
39,1437,96583,554,834,13,580,2,45
40,1585,96192,620,939,14,651,2,63
41,1734,95779,667,1046,15,760,2,56
42,1879,95347,739,1174,17,845,2,70
43,2003,94895,821,1313,17,951,3,73
44,2153,94430,881,1436,19,1081,3,71
45,2338,93854,997,1568,25,1217,4,74
46,2555,93224,1091,1722,31,1376,4,91
47,2786,92561,1195,1887,34,1536,4,109
48,3026,91869,1293,2066,36,1709,4,111
49,3302,91128,1389,2201,41,1937,5,112
50,3545,90309,1492,2431,43,2177,6,124
51,3779,89445,1635,2654,49,2434,7,120
52,4093,88468,1762,2903,51,2717,9,142
53,4440,87429,1892,3137,58,3037,10,141
54,4778,86350,2054,3401,59,3351,10,165
55,5070,85239,2213,3670,66,3733,12,142
56,5407,84038,2366,3968,68,4142,14,169
57,5686,82782,2594,4285,77,4565,14,189
58,6004,81425,2825,4641,80,5012,16,175
59,6291,80059,3044,5036,86,5468,19,197
60,6667,78572,3259,5356,96,6031,22,218
61,6905,77133,3473,5713,109,6646,24,190
62,7137,75645,3723,6056,121,7288,33,228
63,7389,74036,3976,6468,136,7960,38,220
64,7600,72459,4215,6854,146,8684,45,232
65,7707,70865,4459,7278,157,9485,52,200
66,7887,69246,4698,7614,164,10336,58,259
67,8131,67514,4849,7974,187,11282,66,236
68,8302,65734,5062,8331,202,12298,74,229
69,8489,63970,5252,8639,208,13362,83,246
70,8617,62248,5485,8889,213,14452,99,238
71,8799,60447,5637,9155,211,15640,114,253
72,8862,58652,5849,9419,219,16869,133,254
73,8983,56751,6048,9643,231,18200,147,253
74,9143,54827,6179,9910,243,19544,157,255
75,9258,52990,6270,10054,255,21009,167,257
76,9293,51154,6378,10308,260,22421,189,277
77,9374,49278,6520,10473,274,23882,202,238
78,9415,47336,6636,10649,290,25457,220,227
79,9391,45436,6802,10830,306,27000,238,253
80,9435,43555,6887,10988,319,28566,253,260
81,9438,41716,6977,11115,330,30156,271,247
82,9417,39861,7011,11225,326,31868,295,263
83,9276,38060,7034,11364,349,33604,316,239
84,9197,36239,7094,11440,366,35326,341,269
85,9056,34499,7120,11573,363,37025,367,244
86,8885,32831,7166,11565,358,38807,391,231
87,8654,31207,7155,11636,362,40572,417,221
88,8372,29688,7125,11566,358,42454,440,212
89,7979,28260,7042,11546,381,44333,462,214
90,7584,26915,6968,11523,376,46148,489,203
91,7187,25644,6942,11381,380,47961,508,163
92,6731,24476,6814,11257,363,49823,539,148
93,6330,23358,6695,10953,351,51749,567,152
94,5944,22316,6534,10642,355,53624,588,150
95,5482,21433,6355,10285,354,55480,614,131
96,5029,20615,6139,9933,371,57275,641,111
97,4543,19933,5919,9466,374,59101,667,95
98,4079,19279,5659,9043,356,60883,704,81
99,3606,18710,5394,8529,366,62666,732,66
100,3206,18227,5090,7976,373,64378,753,86
101,2850,17765,4742,7474,362,66039,771,53
102,2538,17395,4422,6852,370,67636,790,46
103,2222,17057,4055,6354,378,69121,816,45
104,1964,16746,3729,5821,383,70522,838,46
105,1747,16480,3419,5269,355,71863,870,29
106,1530,16235,3109,4770,348,73114,897,40
107,1358,16037,2810,4271,337,74271,919,24
108,1190,15867,2502,3799,318,75378,949,18
109,1026,15720,2204,3366,303,76411,973,15
110,889,15591,1939,3014,293,77287,990,17
111,747,15488,1722,2658,266,78104,1018,11
112,644,15393,1512,2384,235,78787,1048,23
113,541,15326,1337,2075,216,79440,1068,9
114,448,15272,1178,1812,195,80009,1089,11
115,366,15225,1024,1612,174,80500,1102,6
116,309,15179,889,1388,158,80965,1115,9
117,249,15144,766,1236,133,81342,1133,4
118,206,15120,667,1064,116,81679,1151,4
119,177,15095,577,897,109,81987,1161,5
120,153,15072,509,746,100,82251,1172,2
121,128,15051,422,634,94,82494,1180,2
122,113,15031,362,531,80,82697,1189,5
123,103,15017,304,443,72,82870,1194,3
124,84,15011,254,371,66,83023,1194,0
125,76,14996,221,298,56,83159,1197,5
126,69,14982,186,251,54,83261,1200,2
127,53,14978,159,203,45,83362,1203,1
128,44,14973,135,174,35,83437,1205,0
129,45,14966,112,149,28,83496,1207,2
130,36,14960,99,130,20,83548,1210,2
131,27,14955,88,109,18,83594,1212,0
132,26,14952,76,90,16,83628,1215,0
