iter,date,confirmed,perpopulation,ma-confimed,10k-scaled,10k-9,500-scaled,500-9,1k-scaled,1k-9,20k-scaled,20k-9,50k-scaled,50k-9,100k-scaled,100k-9
0,2020/03/29,310,8.16E-05,0.00,,,,,,,,,,,,
1,2020/03/30,330,8.68E-05,320.00, 0.84 , 7.58 , 0.04 , 0.38 , 0.08 , 0.76 ,1.684210526,15.15789474,4.210526316,37.89473684,8.421052632,75.78947368
2,2020/03/31,348,9.16E-05,339.00, 0.89 , 8.03 , 0.04 , 0.40 , 0.09 , 0.80 ,1.784210526,16.05789474,4.460526316,40.14473684,8.921052632,80.28947368
3,2020/04/01,370,9.74E-05,359.00, 0.94 , 8.50 , 0.05 , 0.43 , 0.09 , 0.85 ,1.889473684,17.00526316,4.723684211,42.51315789,9.447368421,85.02631579
4,2020/04/02,393,0.000103421,381.50, 1.00 , 9.04 , 0.05 , 0.45 , 0.10 , 0.90 ,2.007894737,18.07105263,5.019736842,45.17763158,10.03947368,90.35526316
5,2020/04/03,418,0.00011,405.50, 1.07 , 9.60 , 0.05 , 0.48 , 0.11 , 0.96 ,2.134210526,19.20789474,5.335526316,48.01973684,10.67105263,96.03947368
6,2020/04/04,446,0.000117368,432.00, 1.14 , 10.23 , 0.06 , 0.51 , 0.11 , 1.02 ,2.273684211,20.46315789,5.684210526,51.15789474,11.36842105,102.3157895
7,2020/04/05,464,0.000122105,455.00, 1.20 , 10.78 , 0.06 , 0.54 , 0.12 , 1.08 ,2.394736842,21.55263158,5.986842105,53.88157895,11.97368421,107.7631579
8,2020/04/06,475,0.000125,469.50, 1.24 , 11.12 , 0.06 , 0.56 , 0.12 , 1.11 ,2.471052632,22.23947368,6.177631579,55.59868421,12.35526316,111.1973684
9,2020/04/07,490,0.000128947,482.50, 1.27 , 11.43 , 0.06 , 0.57 , 0.13 , 1.14 ,2.539473684,22.85526316,6.348684211,57.13815789,12.69736842,114.2763158
10,2020/04/08,510,0.000134211,500.00, 1.32 , 11.84 , 0.07 , 0.59 , 0.13 , 1.18 ,2.631578947,23.68421053,6.578947368,59.21052632,13.15789474,118.4210526
11,2020/04/09,522,0.000137368,516.00, 1.36 , 12.22 , 0.07 , 0.61 , 0.14 , 1.22 ,2.715789474,24.44210526,6.789473684,61.10526316,13.57894737,122.2105263
12,2020/04/10,545,0.000143421,533.50, 1.40 , 12.64 , 0.07 , 0.63 , 0.14 , 1.26 ,2.807894737,25.27105263,7.019736842,63.17763158,14.03947368,126.3552632
13,2020/04/11,567,0.000149211,556.00, 1.46 , 13.17 , 0.07 , 0.66 , 0.15 , 1.32 ,2.926315789,26.33684211,7.315789474,65.84210526,14.63157895,131.6842105
14,2020/04/12,559,0.000147105,563.00, 1.48 , 13.33 , 0.07 , 0.67 , 0.15 , 1.33 ,2.963157895,26.66842105,7.407894737,66.67105263,14.81578947,133.3421053
15,2020/04/13,628,0.000165263,593.50, 1.56 , 14.06 , 0.08 , 0.70 , 0.16 , 1.41 ,3.123684211,28.11315789,7.809210526,70.28289474,15.61842105,140.5657895
16,2020/04/14,657,0.000172895,642.50, 1.69 , 15.22 , 0.08 , 0.76 , 0.17 , 1.52 ,3.381578947,30.43421053,8.453947368,76.08552632,16.90789474,152.1710526
17,2020/04/15,676,0.000177895,666.50, 1.75 , 15.79 , 0.09 , 0.79 , 0.18 , 1.58 ,3.507894737,31.57105263,8.769736842,78.92763158,17.53947368,157.8552632
18,2020/04/16,702,0.000184737,689.00, 1.81 , 16.32 , 0.09 , 0.82 , 0.18 , 1.63 ,3.626315789,32.63684211,9.065789474,81.59210526,18.13157895,163.1842105
19,2020/04/17,743,0.000195526,722.50, 1.90 , 17.11 , 0.10 , 0.86 , 0.19 , 1.71 ,3.802631579,34.22368421,9.506578947,85.55921053,19.01315789,171.1184211
20,2020/04/18,812,0.000213684,777.50, 2.05 , 18.41 , 0.10 , 0.92 , 0.20 , 1.84 ,4.092105263,36.82894737,10.23026316,92.07236842,20.46052632,184.1447368
21,2020/04/19,866,0.000227895,839.00, 2.21 , 19.87 , 0.11 , 0.99 , 0.22 , 1.99 ,4.415789474,39.74210526,11.03947368,99.35526316,22.07894737,198.7105263
22,2020/04/20,905,0.000238158,885.50, 2.33 , 20.97 , 0.12 , 1.05 , 0.23 , 2.10 ,4.660526316,41.94473684,11.65131579,104.8618421,23.30263158,209.7236842
23,2020/04/21,974,0.000256316,939.50, 2.47 , 22.25 , 0.12 , 1.11 , 0.25 , 2.23 ,4.944736842,44.50263158,12.36184211,111.2565789,24.72368421,222.5131579
24,2020/04/22,1068,0.000281053,1021.00, 2.69 , 24.18 , 0.13 , 1.21 , 0.27 , 2.42 ,5.373684211,48.36315789,13.43421053,120.9078947,26.86842105,241.8157895
