,e,s,i1,i2,c,r,d,detected
0,49,945,0,0,0,0,0,8
1,34,945,6,9,0,0,0,0
2,24,945,10,15,0,0,0,0
3,15,943,14,22,0,0,0,0
4,4,941,20,29,0,0,0,0
5,5,940,20,29,0,0,0,1
6,8,937,20,29,0,0,0,1
7,10,935,20,29,0,0,0,0
8,9,934,21,30,0,0,0,0
9,9,932,22,31,0,0,0,0
10,9,931,22,32,0,0,0,0
11,7,930,16,26,0,15,0,0
12,6,929,14,20,1,24,0,0
13,6,928,10,14,1,35,0,0
14,5,927,5,8,1,48,0,1
15,5,926,5,9,1,48,0,0
16,4,926,5,10,1,48,0,0
17,4,925,5,11,1,48,0,0
18,3,925,5,10,1,50,0,0
19,2,925,5,9,1,52,0,0
20,2,924,5,9,1,53,0,0
21,3,923,5,6,0,57,0,0
22,2,923,3,7,0,59,0,0
23,3,922,3,6,0,60,0,0
24,3,922,2,5,0,62,0,0
25,3,921,3,4,0,63,0,1
26,2,921,3,4,0,64,0,0
27,2,921,3,3,0,65,0,0
28,1,921,2,4,0,66,0,0
29,2,920,1,4,0,67,0,1
30,1,920,2,3,0,68,0,0
31,1,920,2,3,0,68,0,0
32,1,920,2,2,0,69,0,0
33,1,920,2,2,0,69,0,0
34,1,919,2,3,0,69,0,0
35,1,919,1,3,0,70,0,0
36,2,918,1,2,1,70,0,1
37,2,918,1,2,1,70,0,0
38,2,918,1,1,1,71,0,0
39,1,918,1,2,1,71,0,0
40,1,918,0,2,1,72,0,0
41,0,918,0,3,1,72,0,0
42,0,918,0,3,1,72,0,0
43,0,918,0,3,1,72,0,0
44,0,918,0,2,1,73,0,0
45,0,918,0,2,0,73,1,0
46,1,917,0,2,0,73,1,0
47,1,917,0,2,0,73,1,0
48,1,917,0,2,0,73,1,0
49,1,917,0,1,0,74,1,0
50,1,917,0,1,0,74,1,0
51,2,915,1,0,0,75,1,0
52,2,915,1,0,0,75,1,0
53,2,915,1,0,0,75,1,0
54,2,915,1,0,0,75,1,0
55,2,915,1,0,0,75,1,0
56,0,915,2,1,0,75,1,0
57,0,915,2,1,0,75,1,0
58,0,915,2,1,0,75,1,0
59,0,915,2,1,0,75,1,0
60,1,914,2,1,0,75,1,0
61,1,914,1,1,0,76,1,0
62,1,914,1,1,0,76,1,0
63,1,914,1,1,0,76,1,0
64,1,914,1,1,0,76,1,0
65,0,914,2,1,0,76,1,0
66,0,914,1,0,0,78,1,0
67,0,914,1,0,0,78,1,0
68,0,914,1,0,0,78,1,0
69,1,913,1,0,0,78,1,0
70,1,913,1,0,0,78,1,0
71,1,913,1,0,0,78,1,0
72,1,913,1,0,0,78,1,0
73,1,913,1,0,0,78,1,0
74,0,913,1,1,0,78,1,0
75,0,913,0,1,0,79,1,0
76,0,913,0,1,0,79,1,0
77,0,913,0,1,0,79,1,0
78,0,913,0,1,0,79,1,0
79,0,913,0,1,0,79,1,0
80,0,913,0,1,0,79,1,0
81,0,913,0,1,0,79,1,0
82,0,913,0,1,0,79,1,0
83,0,913,0,1,0,79,1,0
84,0,913,0,0,0,80,1,0
85,0,913,0,0,0,80,1,0
86,0,913,0,0,0,80,1,0
87,0,913,0,0,0,80,1,0
88,0,913,0,0,0,80,1,0
89,0,913,0,0,0,80,1,0
90,0,913,0,0,0,80,1,0
91,0,913,0,0,0,80,1,0
92,0,913,0,0,0,80,1,0
93,0,913,0,0,0,80,1,0
94,0,913,0,0,0,80,1,0
95,0,913,0,0,0,80,1,0
96,0,913,0,0,0,80,1,0
97,0,913,0,0,0,80,1,0
98,0,913,0,0,0,80,1,0
99,0,913,0,0,0,80,1,0
100,0,913,0,0,0,80,1,0
101,0,913,0,0,0,80,1,0
102,0,913,0,0,0,80,1,0
103,0,913,0,0,0,80,1,0
104,0,913,0,0,0,80,1,0
105,0,913,0,0,0,80,1,0
106,0,913,0,0,0,80,1,0
107,0,913,0,0,0,80,1,0
108,0,913,0,0,0,80,1,0
109,0,913,0,0,0,80,1,0
110,0,913,0,0,0,80,1,0
111,0,913,0,0,0,80,1,0
112,0,913,0,0,0,80,1,0
113,0,913,0,0,0,80,1,0
114,0,913,0,0,0,80,1,0
115,0,913,0,0,0,80,1,0
116,0,913,0,0,0,80,1,0
117,0,913,0,0,0,80,1,0
118,0,913,0,0,0,80,1,0
119,0,913,0,0,0,80,1,0
120,0,913,0,0,0,80,1,0
121,0,913,0,0,0,80,1,0
122,0,913,0,0,0,80,1,0
123,0,913,0,0,0,80,1,0
124,0,913,0,0,0,80,1,0
125,0,913,0,0,0,80,1,0
126,0,913,0,0,0,80,1,0
127,0,913,0,0,0,80,1,0
128,0,913,0,0,0,80,1,0
129,0,913,0,0,0,80,1,0
130,0,913,0,0,0,80,1,0
131,0,913,0,0,0,80,1,0
132,0,913,0,0,0,80,1,0
133,0,913,0,0,0,80,1,0
134,0,913,0,0,0,80,1,0
135,0,913,0,0,0,80,1,0
136,0,913,0,0,0,80,1,0
137,0,913,0,0,0,80,1,0
138,0,913,0,0,0,80,1,0
139,0,913,0,0,0,80,1,0
140,0,913,0,0,0,80,1,0
141,0,913,0,0,0,80,1,0
142,0,913,0,0,0,80,1,0
143,0,913,0,0,0,80,1,0
144,0,913,0,0,0,80,1,0
145,0,913,0,0,0,80,1,0
146,0,913,0,0,0,80,1,0
147,0,913,0,0,0,80,1,0
148,0,913,0,0,0,80,1,0
149,0,913,0,0,0,80,1,0
150,0,913,0,0,0,80,1,0
151,0,913,0,0,0,80,1,0
152,0,913,0,0,0,80,1,0
153,0,913,0,0,0,80,1,0
154,0,913,0,0,0,80,1,0
155,0,913,0,0,0,80,1,0
156,0,913,0,0,0,80,1,0
157,0,913,0,0,0,80,1,0
158,0,913,0,0,0,80,1,0
159,0,913,0,0,0,80,1,0
160,0,913,0,0,0,80,1,0
161,0,913,0,0,0,80,1,0
162,0,913,0,0,0,80,1,0
163,0,913,0,0,0,80,1,0
164,0,913,0,0,0,80,1,0
165,0,913,0,0,0,80,1,0
166,0,913,0,0,0,80,1,0
167,0,913,0,0,0,80,1,0
168,0,913,0,0,0,80,1,0
169,0,913,0,0,0,80,1,0
170,0,913,0,0,0,80,1,0
171,0,913,0,0,0,80,1,0
172,0,913,0,0,0,80,1,0
173,0,913,0,0,0,80,1,0
174,0,913,0,0,0,80,1,0
175,0,913,0,0,0,80,1,0
176,0,913,0,0,0,80,1,0
177,0,913,0,0,0,80,1,0
178,0,913,0,0,0,80,1,0
179,0,913,0,0,0,80,1,0
180,0,913,0,0,0,80,1,0
181,0,913,0,0,0,80,1,0
182,0,913,0,0,0,80,1,0
183,0,913,0,0,0,80,1,0
184,0,913,0,0,0,80,1,0
185,0,913,0,0,0,80,1,0
186,0,913,0,0,0,80,1,0
187,0,913,0,0,0,80,1,0
188,0,913,0,0,0,80,1,0
189,0,913,0,0,0,80,1,0
190,0,913,0,0,0,80,1,0
191,0,913,0,0,0,80,1,0
192,0,913,0,0,0,80,1,0
193,0,913,0,0,0,80,1,0
194,0,913,0,0,0,80,1,0
195,0,913,0,0,0,80,1,0
196,0,913,0,0,0,80,1,0
197,0,913,0,0,0,80,1,0
198,0,913,0,0,0,80,1,0
199,0,913,0,0,0,80,1,0
200,0,913,0,0,0,80,1,0
201,0,913,0,0,0,80,1,0
202,0,913,0,0,0,80,1,0
203,0,913,0,0,0,80,1,0
204,0,913,0,0,0,80,1,0
205,0,913,0,0,0,80,1,0
206,0,913,0,0,0,80,1,0
207,0,913,0,0,0,80,1,0
208,0,913,0,0,0,80,1,0
209,0,913,0,0,0,80,1,0
210,0,913,0,0,0,80,1,0
211,0,913,0,0,0,80,1,0
212,0,913,0,0,0,80,1,0
213,0,913,0,0,0,80,1,0
214,0,913,0,0,0,80,1,0
215,0,913,0,0,0,80,1,0
216,0,913,0,0,0,80,1,0
217,0,913,0,0,0,80,1,0
218,0,913,0,0,0,80,1,0
219,0,913,0,0,0,80,1,0
220,0,913,0,0,0,80,1,0
221,0,913,0,0,0,80,1,0
222,0,913,0,0,0,80,1,0
223,0,913,0,0,0,80,1,0
224,0,913,0,0,0,80,1,0
225,0,913,0,0,0,80,1,0
226,0,913,0,0,0,80,1,0
227,0,913,0,0,0,80,1,0
228,0,913,0,0,0,80,1,0
229,0,913,0,0,0,80,1,0
230,0,913,0,0,0,80,1,0
231,0,913,0,0,0,80,1,0
232,0,913,0,0,0,80,1,0
233,0,913,0,0,0,80,1,0
234,0,913,0,0,0,80,1,0
235,0,913,0,0,0,80,1,0
236,0,913,0,0,0,80,1,0
237,0,913,0,0,0,80,1,0
238,0,913,0,0,0,80,1,0
239,0,913,0,0,0,80,1,0
240,0,913,0,0,0,80,1,0
241,0,913,0,0,0,80,1,0
242,0,913,0,0,0,80,1,0
243,0,913,0,0,0,80,1,0
244,0,913,0,0,0,80,1,0
245,0,913,0,0,0,80,1,0
246,0,913,0,0,0,80,1,0
247,0,913,0,0,0,80,1,0
248,0,913,0,0,0,80,1,0
249,0,913,0,0,0,80,1,0
250,0,913,0,0,0,80,1,0
251,0,913,0,0,0,80,1,0
252,0,913,0,0,0,80,1,0
253,0,913,0,0,0,80,1,0
254,0,913,0,0,0,80,1,0
255,0,913,0,0,0,80,1,0
256,0,913,0,0,0,80,1,0
257,0,913,0,0,0,80,1,0
258,0,913,0,0,0,80,1,0
259,0,913,0,0,0,80,1,0
260,0,913,0,0,0,80,1,0
261,0,913,0,0,0,80,1,0
262,0,913,0,0,0,80,1,0
263,0,913,0,0,0,80,1,0
264,0,913,0,0,0,80,1,0
265,0,913,0,0,0,80,1,0
266,0,913,0,0,0,80,1,0
267,0,913,0,0,0,80,1,0
268,0,913,0,0,0,80,1,0
269,0,913,0,0,0,80,1,0
270,0,913,0,0,0,80,1,0
271,0,913,0,0,0,80,1,0
272,0,913,0,0,0,80,1,0
273,0,913,0,0,0,80,1,0
274,0,913,0,0,0,80,1,0
275,0,913,0,0,0,80,1,0
276,0,913,0,0,0,80,1,0
277,0,913,0,0,0,80,1,0
278,0,913,0,0,0,80,1,0
279,0,913,0,0,0,80,1,0
280,0,913,0,0,0,80,1,0
281,0,913,0,0,0,80,1,0
282,0,913,0,0,0,80,1,0
283,0,913,0,0,0,80,1,0
284,0,913,0,0,0,80,1,0
285,0,913,0,0,0,80,1,0
286,0,913,0,0,0,80,1,0
287,0,913,0,0,0,80,1,0
288,0,913,0,0,0,80,1,0
289,0,913,0,0,0,80,1,0
290,0,913,0,0,0,80,1,0
291,0,913,0,0,0,80,1,0
292,0,913,0,0,0,80,1,0
293,0,913,0,0,0,80,1,0
294,0,913,0,0,0,80,1,0
295,0,913,0,0,0,80,1,0
296,0,913,0,0,0,80,1,0
297,0,913,0,0,0,80,1,0
298,0,913,0,0,0,80,1,0
299,0,913,0,0,0,80,1,0
300,0,913,0,0,0,80,1,0
301,0,913,0,0,0,80,1,0
302,0,913,0,0,0,80,1,0
303,0,913,0,0,0,80,1,0
304,0,913,0,0,0,80,1,0
305,0,913,0,0,0,80,1,0
306,0,913,0,0,0,80,1,0
307,0,913,0,0,0,80,1,0
308,0,913,0,0,0,80,1,0
309,0,913,0,0,0,80,1,0
310,0,913,0,0,0,80,1,0
311,0,913,0,0,0,80,1,0
312,0,913,0,0,0,80,1,0
313,0,913,0,0,0,80,1,0
314,0,913,0,0,0,80,1,0
315,0,913,0,0,0,80,1,0
316,0,913,0,0,0,80,1,0
317,0,913,0,0,0,80,1,0
318,0,913,0,0,0,80,1,0
319,0,913,0,0,0,80,1,0
320,0,913,0,0,0,80,1,0
321,0,913,0,0,0,80,1,0
322,0,913,0,0,0,80,1,0
323,0,913,0,0,0,80,1,0
324,0,913,0,0,0,80,1,0
325,0,913,0,0,0,80,1,0
326,0,913,0,0,0,80,1,0
327,0,913,0,0,0,80,1,0
328,0,913,0,0,0,80,1,0
329,0,913,0,0,0,80,1,0
330,0,913,0,0,0,80,1,0
331,0,913,0,0,0,80,1,0
332,0,913,0,0,0,80,1,0
333,0,913,0,0,0,80,1,0
334,0,913,0,0,0,80,1,0
335,0,913,0,0,0,80,1,0
336,0,913,0,0,0,80,1,0
337,0,913,0,0,0,80,1,0
338,0,913,0,0,0,80,1,0
339,0,913,0,0,0,80,1,0
340,0,913,0,0,0,80,1,0
341,0,913,0,0,0,80,1,0
342,0,913,0,0,0,80,1,0
343,0,913,0,0,0,80,1,0
344,0,913,0,0,0,80,1,0
345,0,913,0,0,0,80,1,0
346,0,913,0,0,0,80,1,0
347,0,913,0,0,0,80,1,0
348,0,913,0,0,0,80,1,0
349,0,913,0,0,0,80,1,0
