WardID;age_0_10;age_10_20;age_20_30;age_30_40;age_40_50;age_50_60;age_60_70;age_70_80;age_80_plus
19100001;0.112313749;0.118866514;0.145951088;0.145413323;0.151773176;0.139328714;0.099140129;0.058728892;0.028484414
19100002;0.115492721;0.119621212;0.18509623;0.147478863;0.14450748;0.111715691;0.084623223;0.058312132;0.033152447
19100003;0.109704286;0.115951342;0.176325128;0.163794204;0.153025426;0.131054004;0.086954111;0.044214737;0.018976764
19100004;0.188072058;0.12590685;0.263121848;0.200482119;0.11841935;0.058953632;0.029448744;0.011315725;0.004279675
19100005;0.109743284;0.123855924;0.168854129;0.154050924;0.157931962;0.12905356;0.089794612;0.049472165;0.01724344
19100006;0.222268769;0.167759133;0.267512282;0.173638703;0.094393999;0.049609543;0.017236592;0.005281199;0.00229978
19100007;0.180449644;0.159192155;0.19471542;0.146123095;0.137375462;0.110571393;0.047594738;0.018934796;0.005043298
19100008;0.147472367;0.115198814;0.166121613;0.190288985;0.148062696;0.108221709;0.067427877;0.042768423;0.014437517
19100009;0.15632804;0.189363362;0.251004561;0.119368263;0.119910575;0.081610367;0.047217297;0.024789222;0.010408313
19100010;0.148845607;0.144088023;0.21652615;0.157246196;0.129268654;0.091739798;0.060889397;0.03566852;0.015727655
19100011;0.150190029;0.159955218;0.171985358;0.142668138;0.147592122;0.112451729;0.063973816;0.035505071;0.01567852
19100012;0.206882942;0.182805067;0.196339587;0.12961057;0.128379111;0.099221244;0.039781248;0.01344389;0.003536342
19100013;0.232722659;0.193365635;0.212791691;0.11579569;0.147981743;0.072865013;0.017071553;0.00545989;0.001946127
19100014;0.201821053;0.157005299;0.193611154;0.161016641;0.137024466;0.09114957;0.038774911;0.015324572;0.004272333
19100015;0.127000546;0.123265183;0.128794351;0.133639706;0.150062914;0.128779294;0.106261675;0.070763814;0.031432517
19100016;0.218164095;0.185919463;0.19408595;0.14936437;0.139808948;0.076905192;0.024718139;0.008134229;0.002899614
19100017;0.200726566;0.185593656;0.1840555;0.131787834;0.147368273;0.098120557;0.036811581;0.011268731;0.004267301
