,e,s,i1,i2,c,r,d,detected
0,50,99953,0,0,0,0,0,8
1,38,99952,5,8,0,0,0,0
2,30,99951,11,11,0,0,0,0
3,21,99948,13,21,0,0,0,0
4,7,99946,18,32,0,0,0,0
5,9,99944,18,32,0,0,0,0
6,11,99941,19,32,0,0,0,0
7,15,99936,19,33,0,0,0,1
8,18,99930,21,34,0,0,0,3
9,19,99927,21,36,0,0,0,0
10,21,99923,22,37,0,0,0,0
11,23,99918,17,32,0,13,0,1
12,20,99916,13,32,0,22,0,0
13,18,99912,14,25,0,34,0,1
14,17,99910,9,17,1,49,0,0
15,17,99906,11,19,1,49,0,0
16,18,99900,10,24,1,50,0,0
17,19,99897,10,25,1,51,0,1
18,26,99886,8,28,1,54,0,1
19,31,99879,9,27,1,56,0,1
20,31,99875,11,27,1,58,0,1
21,30,99870,12,29,1,61,0,1
22,34,99863,12,27,1,66,0,1
23,32,99854,15,29,0,73,0,0
24,37,99842,20,28,0,76,0,2
25,43,99832,20,28,0,80,0,2
26,48,99822,23,25,0,85,0,1
27,50,99813,27,26,0,87,0,0
28,52,99802,28,30,0,91,0,4
29,52,99790,30,38,0,93,0,1
30,51,99781,33,41,0,97,0,1
31,50,99772,36,42,1,102,0,1
32,55,99758,38,46,1,105,0,4
33,63,99739,36,48,1,116,0,2
34,74,99716,35,54,2,122,0,4
35,89,99692,36,58,2,126,0,4
36,113,99659,36,62,2,131,0,7
37,130,99628,37,68,2,138,0,5
38,140,99599,44,71,2,147,0,2
39,152,99564,50,76,4,157,0,2
40,179,99513,56,84,3,168,0,7
41,195,99464,67,96,3,178,0,9
42,212,99416,76,109,3,187,0,10
43,230,99369,88,115,4,196,1,6
44,263,99301,101,125,5,207,1,11
45,271,99242,111,157,5,216,1,4
46,283,99181,128,180,5,225,1,10
47,293,99123,143,199,6,238,1,4
48,313,99056,155,215,5,258,1,10
49,322,98979,176,239,7,279,1,11
50,349,98893,188,262,8,302,1,14
51,381,98800,198,280,8,335,1,13
52,405,98718,213,292,8,364,3,13
53,438,98618,228,315,7,393,4,8
54,469,98510,247,338,7,428,4,23
55,463,98430,274,346,11,475,4,11
56,488,98312,290,374,15,519,5,20
57,537,98181,303,395,17,565,5,22
58,562,98056,322,429,20,607,7,24
59,602,97908,329,462,21,673,8,22
60,671,97759,331,481,21,732,8,19
61,719,97593,347,522,19,794,9,18
62,771,97410,368,574,20,851,9,19
63,842,97214,385,615,23,915,9,29
64,914,96994,410,661,20,993,11,24
65,954,96805,415,719,17,1079,14,27
66,1019,96574,443,764,19,1170,14,35
67,1096,96314,486,822,16,1254,15,42
68,1183,96031,526,878,19,1350,16,36
69,1241,95753,580,936,22,1455,16,35
70,1357,95448,623,1002,24,1533,16,56
71,1425,95149,669,1069,28,1646,17,43
72,1441,94873,728,1139,30,1774,18,40
73,1474,94557,787,1238,34,1895,18,41
74,1549,94204,826,1329,35,2041,19,46
75,1637,93811,910,1401,37,2185,22,51
76,1761,93388,959,1485,40,2348,22,64
77,1901,92972,991,1546,38,2530,25,77
78,1968,92589,1034,1623,41,2722,26,54
79,2017,92187,1087,1703,45,2936,28,62
80,2083,91728,1152,1842,42,3126,30,73
81,2126,91262,1234,1952,43,3355,31,66
82,2231,90741,1278,2064,49,3607,33,86
83,2322,90267,1312,2130,53,3883,36,67
84,2458,89729,1370,2196,50,4162,38,72
85,2544,89184,1401,2319,56,4459,40,81
86,2644,88618,1481,2406,62,4750,42,84
87,2727,88014,1599,2533,64,5022,44,72
88,2861,87406,1658,2632,68,5330,48,95
89,2963,86766,1747,2728,74,5676,49,76
90,3048,86136,1823,2804,73,6069,50,92
91,3136,85482,1855,2915,76,6483,56,87
92,3199,84815,1939,3019,75,6898,58,87
93,3321,84085,2042,3141,81,7274,59,102
94,3395,83371,2124,3297,80,7672,64,111
95,3515,82621,2192,3400,83,8125,67,94
96,3647,81835,2247,3533,83,8587,71,111
97,3751,81064,2257,3669,78,9108,76,114
98,3869,80216,2355,3827,88,9566,82,127
99,4006,79365,2368,3990,93,10095,86,118
100,4093,78528,2445,4118,95,10630,94,116
101,4129,77706,2532,4251,107,11182,96,118
102,4255,76809,2588,4362,109,11778,102,142
103,4333,75883,2682,4508,114,12373,110,126
104,4417,74948,2757,4644,118,13000,119,131
105,4539,73989,2836,4772,127,13619,121,123
106,4675,73031,2899,4877,135,14262,124,130
107,4690,72119,3026,4980,135,14916,137,124
108,4727,71156,3101,5101,137,15637,144,160
109,4808,70140,3190,5233,138,16343,151,143
110,4873,69116,3276,5356,133,17089,160,142
111,4999,68032,3357,5447,133,17865,170,153
112,5156,66963,3402,5543,134,18625,180,132
113,5267,65889,3421,5639,135,19464,188,149
114,5314,64826,3484,5741,133,20306,199,152
115,5329,63787,3555,5857,134,21133,208,145
116,5318,62714,3671,6003,144,21929,224,146
117,5360,61603,3700,6146,148,22813,233,164
118,5368,60521,3749,6245,153,23725,242,146
119,5428,59398,3826,6296,159,24648,248,147
120,5533,58254,3860,6342,169,25587,258,148
121,5549,57165,3887,6430,176,26531,265,153
122,5511,56092,3984,6532,181,27424,279,153
123,5477,55044,4059,6576,190,28370,287,145
124,5399,53999,4086,6656,194,29370,299,145
125,5286,52968,4129,6733,189,30381,317,155
126,5216,51949,4115,6752,197,31447,327,151
127,5125,50967,4136,6735,197,32504,339,123
128,5023,50021,4154,6691,201,33562,351,105
129,4963,49036,4146,6681,194,34619,364,112
130,4838,48130,4163,6656,196,35639,381,131
131,4705,47244,4162,6603,194,36704,391,122
132,4565,46402,4088,6548,188,37807,405,104
133,4470,45551,4027,6473,193,38875,414,132
134,4262,44774,3997,6365,196,39979,430,102
135,4090,44040,3948,6176,196,41109,444,114
