,e,s,i1,i2,c,r,d,detected
0,48,99955,0,0,0,0,0,8
1,34,99955,8,6,0,0,0,0
2,27,99950,15,11,0,0,0,0
3,19,99945,20,19,0,0,0,1
4,18,99937,21,27,0,0,0,1
5,25,99930,21,27,0,0,0,1
6,30,99925,21,27,0,0,0,0
7,40,99910,24,29,0,0,0,3
8,52,99893,27,31,0,0,0,3
9,54,99883,29,37,0,0,0,2
10,56,99874,33,40,0,0,0,1
11,69,99856,25,39,1,13,0,2
12,68,99842,23,44,1,25,0,3
13,79,99814,23,48,1,38,0,2
14,100,99783,26,46,1,47,0,6
15,123,99751,31,50,1,47,0,3
16,128,99728,37,62,1,47,0,2
17,137,99705,38,70,1,52,0,3
18,152,99662,49,82,1,57,0,8
19,172,99611,57,97,1,65,0,11
20,197,99554,71,108,0,72,1,11
21,236,99492,82,115,0,77,1,6
22,270,99435,82,123,0,92,1,4
23,300,99362,94,137,1,108,1,11
24,339,99272,107,165,1,118,1,12
25,373,99181,124,196,1,127,1,13
26,423,99069,147,217,3,143,1,17
27,506,98929,167,240,4,156,1,15
28,566,98796,181,271,5,183,1,23
29,631,98641,207,304,7,212,1,19
30,708,98473,219,351,7,244,1,21
31,793,98276,257,402,7,267,1,32
32,853,98076,304,472,6,291,1,35
33,944,97852,336,530,7,333,1,36
34,1020,97621,377,593,8,383,1,34
35,1103,97370,420,661,7,441,1,36
36,1219,97057,469,747,6,504,1,42
37,1324,96752,530,829,7,560,1,49
38,1422,96430,586,924,8,631,2,49
39,1519,96102,617,1034,9,720,2,57
40,1653,95717,687,1124,12,808,2,48
41,1741,95316,759,1253,13,919,2,52
42,1821,94931,824,1353,15,1057,2,61
43,1963,94467,921,1445,18,1186,3,61
44,2077,94025,998,1541,18,1340,4,56
45,2186,93531,1092,1664,25,1501,4,70
46,2333,92983,1168,1792,28,1695,4,81
47,2488,92443,1216,1929,31,1891,5,75
48,2678,91789,1294,2091,43,2102,6,90
49,2849,91176,1410,2186,45,2329,8,81
50,3031,90500,1500,2339,52,2573,8,84
51,3169,89814,1570,2504,59,2878,9,100
52,3384,89059,1665,2644,61,3179,11,110
53,3496,88293,1767,2874,66,3495,12,99
54,3747,87429,1857,3069,69,3818,14,119
55,3948,86552,1964,3253,75,4192,19,131
56,4129,85685,2084,3418,74,4593,20,119
57,4364,84695,2234,3638,77,4971,24,137
58,4628,83665,2362,3812,83,5426,27,127
59,4820,82609,2505,4091,86,5862,30,135
60,5114,81438,2662,4317,86,6350,36,160
61,5400,80285,2775,4523,97,6884,39,163
62,5658,79037,2931,4817,104,7414,42,162
63,5909,77756,3109,5015,115,8051,48,172
64,6250,76359,3277,5290,121,8652,54,196
65,6516,74922,3495,5567,132,9313,58,213
66,6856,73429,3646,5883,132,9992,65,208
67,7185,71852,3862,6160,146,10728,70,229
68,7374,70382,4084,6453,152,11482,76,185
69,7601,68758,4294,6776,175,12317,82,230
70,7761,67161,4532,7098,175,13185,91,235
71,7988,65441,4792,7464,192,14026,100,244
72,8188,63664,5012,7831,205,14989,114,225
73,8453,61929,5150,8133,212,16000,126,245
74,8596,60162,5359,8492,217,17043,134,244
75,8770,58391,5475,8802,231,18190,144,238
76,8923,56518,5682,9162,232,19328,158,280
77,9053,54611,5879,9494,233,20565,168,277
78,9317,52612,5998,9829,229,21829,189,269
79,9459,50703,6139,10058,238,23205,201,265
80,9625,48766,6253,10278,246,24613,222,269
81,9763,46755,6421,10490,246,26080,248,281
82,9880,44731,6582,10659,266,27621,264,284
83,9892,42720,6786,10984,279,29064,278,289
84,9833,40870,6906,11149,294,30652,299,249
85,9791,38975,7055,11340,305,32220,317,259
86,9713,37042,7194,11492,324,33907,331,287
87,9485,35246,7262,11671,337,35654,348,257
88,9267,33453,7368,11841,347,37362,365,267
89,9097,31773,7400,11892,350,39104,387,227
90,8826,30149,7467,11949,360,40845,407,241
91,8431,28611,7480,11996,362,42687,436,206
92,8074,27172,7411,11954,366,44569,457,228
93,7675,25778,7324,11835,373,46535,483,192
94,7232,24541,7228,11702,368,48427,505,169
95,6762,23387,7071,11546,367,50340,530,169
96,6333,22278,6902,11242,367,52327,554,142
97,5831,21341,6698,10861,371,54321,580,139
98,5301,20477,6499,10443,387,56294,602,132
99,4781,19760,6266,10063,388,58120,625,117
100,4352,19035,5952,9636,379,59996,653,94
101,3852,18426,5645,9119,380,61901,680,93
102,3513,17828,5335,8570,360,63681,716,83
103,3128,17349,4971,8005,377,65437,736,67
104,2832,16928,4607,7406,368,67099,763,54
105,2515,16520,4298,6816,364,68703,787,56
106,2216,16210,3925,6260,351,70227,814,40
107,1898,15930,3575,5769,318,71664,849,31
108,1644,15705,3231,5198,294,73057,874,24
109,1422,15506,2918,4695,286,74278,898,25
110,1197,15323,2647,4220,264,75427,925,28
111,1041,15169,2322,3746,249,76533,943,18
112,892,15038,2060,3351,227,77460,975,15
113,798,14907,1835,2937,217,78317,992,14
114,682,14824,1650,2604,197,79031,1015,11
115,574,14749,1435,2277,179,79759,1030,15
116,494,14675,1261,1996,168,80362,1047,8
117,409,14629,1100,1690,159,80960,1056,9
118,330,14577,951,1491,140,81437,1077,9
119,281,14543,825,1279,130,81858,1087,4
120,236,14513,663,1108,122,82266,1095,1
121,197,14478,573,962,104,82579,1110,4
122,170,14459,481,820,93,82858,1122,3
123,139,14438,413,715,82,83082,1134,1
124,123,14420,349,614,80,83281,1136,1
125,106,14407,299,511,70,83468,1142,1
126,86,14392,257,434,61,83628,1145,1
127,85,14374,214,365,54,83760,1151,1
128,73,14365,176,293,54,83887,1155,2
129,65,14355,144,260,45,83976,1158,3
130,61,14346,131,211,37,84057,1160,1
131,52,14340,116,167,32,84134,1162,0
132,39,14335,101,154,28,84182,1164,0
133,33,14332,82,130,23,84235,1168,1
134,24,14331,72,116,21,84271,1168,0
135,16,14330,55,112,19,84303,1168,1
136,12,14328,44,94,17,84340,1168,1
137,9,14326,39,85,10,84363,1171,1
138,8,14324,34,72,10,84384,1171,0
139,11,14320,29,60,10,84401,1172,0
140,11,14319,23,54,9,84415,1172,0
141,11,14317,16,48,6,84432,1173,1
142,11,14315,15,33,4,84452,1173,0
143,9,14315,10,31,3,84461,1174,0
144,6,14314,7,28,3,84471,1174,0
145,5,14314,7,20,2,84481,1174,0
146,3,14314,5,18,2,84487,1174,0
147,1,14314,5,15,3,84491,1174,0
148,1,14314,3,14,2,84495,1174,0
149,0,14314,3,14,2,84496,1174,0
150,0,14314,3,13,2,84497,1174,0
151,0,14314,2,12,2,84499,1174,0
152,0,14314,2,10,2,84501,1174,0
153,0,14314,2,8,1,84503,1175,0
154,0,14314,2,4,1,84507,1175,0
155,0,14314,1,4,1,84508,1175,0
156,0,14314,1,2,0,84511,1175,0
157,0,14314,0,1,0,84513,1175,0
158,0,14314,0,1,0,84513,1175,0
159,0,14314,0,0,0,84514,1175,0
160,0,14314,0,0,0,84514,1175,0
161,0,14314,0,0,0,84514,1175,0
162,0,14314,0,0,0,84514,1175,0
163,0,14314,0,0,0,84514,1175,0
164,0,14314,0,0,0,84514,1175,0
165,0,14314,0,0,0,84514,1175,0
166,0,14314,0,0,0,84514,1175,0
167,0,14314,0,0,0,84514,1175,0
168,0,14314,0,0,0,84514,1175,0
169,0,14314,0,0,0,84514,1175,0
170,0,14314,0,0,0,84514,1175,0
171,0,14314,0,0,0,84514,1175,0
172,0,14314,0,0,0,84514,1175,0
173,0,14314,0,0,0,84514,1175,0
174,0,14314,0,0,0,84514,1175,0
175,0,14314,0,0,0,84514,1175,0
176,0,14314,0,0,0,84514,1175,0
177,0,14314,0,0,0,84514,1175,0
178,0,14314,0,0,0,84514,1175,0
179,0,14314,0,0,0,84514,1175,0
180,0,14314,0,0,0,84514,1175,0
181,0,14314,0,0,0,84514,1175,0
